NAME,URL
機械彫刻用標準書体,https://font.kim/
8×8ドット日本語フォント「美咲フォント」,https://littlelimit.net/misaki.htm
珊瑚,https://tanukifont.com/sango/
異世明・異世ゴ,https://booth.pm/ja/items/2291468
装甲明朝,https//booth.pm/ja/items/1028555
【フリーフォント】「トレゴ」昭和レトロな雰囲気,https//typographish.booth.pm/items/5047791
【フリーフォント】新レトロ丸ゴシック,https//typographish.booth.pm/items/4607768
Jigmo（字雲）フォント,https//kamichikoichi.github.io/jigmo/
フリーフォント　日本語(和文)フォント「鉄路タイプフェイス」,https//typingart.booth.pm/items/4678935
