NAME,INSTALL,Windows 11 Pro 24H2,Ubuntu
mpv,i,https://mpv.io/installation/,https://mpv.io/installation/
Vivaldi,i,https://vivaldi.com/ja/download/,https://vivaldi.com/ja/download/
Wezterm,i,https://wezterm.org/install/windows.html,https://wezterm.org/install/linux.html
Visual Studio Code,i,https://code.visualstudio.com/,https://code.visualstudio.com/
