ソフトウェア,URL,説明
Upload Remote,https://www.ntwind.com/cross-platform/upload-remote.html,誰でも簡単に利用できるクロスプラットフォーム対応のファイル共有アプリ
Thunderbolt™ Share,https://www.intel.co.jp/content/www/jp/ja/download/822291/thunderbolt-share.html,Thunderbolt 4/5ポートを備える2台のPCをThunderboltケーブルで接続し、高速なデータ転送、指定したフォルダの同期、新しいPCへのデータ移行、画面共有、1台のマウスとキーボードで両方のPCを操作といった機能
